,listing_id,monthname,price
787,1684109,March,287.9032258064516
788,1684109,May,289.51612903225805
789,1684109,November,325.0
790,1684109,October,325.0
791,1684109,September,325.0
792,1728187,April,225.0
793,1728187,August,225.0
794,1728187,December,225.0
795,1728187,February,225.0
796,1728187,January,225.0
797,1728187,July,225.0
798,1728187,June,180.0
799,1728187,March,225.0
800,1728187,May,225.0
801,1728187,November,225.0
802,1728187,October,160.0
803,1728187,September,225.0
804,1768955,April,65.4
805,1768955,August,64.64516129032258
806,1768955,December,62.12903225806452
807,1768955,February,64.28571428571429
808,1768955,January,67.16129032258064
809,1768955,July,64.64516129032258
810,1768955,June,62.8
811,1768955,March,62.12903225806452
812,1768955,May,64.64516129032258
813,1768955,November,62.8
814,1768955,October,67.16129032258064
815,1768955,September,62.8
816,1785262,April,90.9
817,1785262,August,67.61290322580645
818,1785262,December,90.58064516129032
819,1785262,February,90.71428571428571
820,1785262,January,90.93548387096774
821,1785262,July,69.80645161290323
822,1785262,June,71.66666666666667
823,1785262,March,90.45161290322581
824,1785262,May,88.96774193548387
825,1785262,November,80.46666666666667
826,1785262,October,67.96774193548387
827,1785262,September,67.93333333333334
828,1788770,April,97.5
829,1788770,August,96.7741935483871
830,1788770,December,94.35483870967742
831,1788770,February,96.42857142857143
832,1788770,January,99.19354838709677
833,1788770,July,96.7741935483871
834,1788770,June,114.0
835,1788770,March,94.35483870967742
836,1788770,May,96.7741935483871
837,1788770,November,95.0
838,1788770,October,99.19354838709677
839,1788770,September,95.0
840,1827412,April,92.0
841,1827412,August,91.90322580645162
842,1827412,December,91.58064516129032
843,1827412,February,91.85714285714286
844,1827412,January,92.2258064516129
845,1827412,July,91.90322580645162
846,1827412,June,91.66666666666667
847,1827412,March,91.58064516129032
848,1827412,May,91.90322580645162
849,1827412,November,91.66666666666667
850,1827412,October,92.2258064516129
851,1827412,September,91.66666666666667
852,1843828,April,250.0
853,1843828,August,250.0
854,1843828,December,250.0
855,1843828,February,250.0
856,1843828,January,250.0
857,1843828,July,250.0
858,1843828,June,250.0
859,1843828,March,250.0
860,1843828,May,250.0
861,1843828,November,250.0
862,1843828,October,250.0
863,1843828,September,250.0
864,1851921,April,129.0
865,1851921,August,128.70967741935485
866,1851921,December,127.74193548387096
867,1851921,February,128.57142857142858
868,1851921,January,129.67741935483872
869,1851921,July,128.70967741935485
870,1851921,June,128.0
871,1851921,March,127.74193548387096
872,1851921,May,129.67741935483872
873,1851921,November,128.0
874,1851921,October,129.67741935483872
875,1851921,September,128.0
876,1852818,April,60.0
877,1852818,August,60.0
878,1852818,December,60.0
879,1852818,February,60.0
880,1852818,January,60.0
881,1852818,July,60.0
882,1852818,June,60.0
883,1852818,March,60.0
884,1852818,May,60.0
885,1852818,November,60.0
886,1852818,October,60.0
887,1852818,September,60.0
888,1950593,April,112.0
889,1950593,August,111.90322580645162
890,1950593,December,111.58064516129032
891,1950593,February,111.85714285714286
892,1950593,January,112.2258064516129
893,1950593,July,111.90322580645162
894,1950593,June,111.66666666666667
895,1950593,March,111.58064516129032
896,1950593,May,112.2258064516129
897,1950593,November,111.66666666666667
898,1950593,October,112.2258064516129
899,1950593,September,111.66666666666667
900,1956037,April,136.0
901,1956037,August,135.80645161290323
902,1956037,December,135.16129032258064
903,1956037,February,135.71428571428572
904,1956037,January,136.4516129032258
905,1956037,July,135.80645161290323
906,1956037,June,135.33333333333334
907,1956037,March,135.16129032258064
908,1956037,May,135.80645161290323
909,1956037,November,135.33333333333334
910,1956037,October,136.4516129032258
911,1956037,September,135.33333333333334
912,2011367,April,91.0
913,2011367,August,90.61290322580645
914,2011367,December,89.3225806451613
915,2011367,February,90.42857142857143
916,2011367,January,91.90322580645162
917,2011367,July,90.61290322580645
918,2011367,June,89.66666666666667
919,2011367,March,89.3225806451613
920,2011367,May,91.90322580645162
921,2011367,November,89.66666666666667
922,2011367,October,91.90322580645162
923,2011367,September,89.66666666666667
924,2014453,April,102.0
925,2014453,August,101.90322580645162
926,2014453,December,101.58064516129032
927,2014453,February,101.85714285714286
928,2014453,January,102.2258064516129
929,2014453,July,101.90322580645162
930,2014453,June,101.66666666666667
931,2014453,March,101.58064516129032
932,2014453,May,102.2258064516129
933,2014453,November,101.66666666666667
934,2014453,October,102.2258064516129
935,2014453,September,101.66666666666667
936,2072026,April,95.0
937,2072026,August,118.06451612903226
938,2072026,December,96.7741935483871
939,2072026,February,95.0
940,2072026,January,98.54838709677419
941,2072026,July,119.51612903225806
942,2072026,June,116.0
943,2072026,March,95.0
944,2072026,May,95.0
945,2072026,November,110.33333333333333
946,2072026,October,140.32258064516128
947,2072026,September,106.83333333333333
948,2108335,April,165.0
949,2108335,August,169.83870967741936
950,2108335,December,171.4516129032258
951,2108335,February,165.0
952,2108335,January,167.58064516129033
953,2108335,July,168.5483870967742
954,2108335,June,172.66666666666666
955,2108335,March,165.0
956,2108335,May,165.0
957,2108335,November,174.33333333333334
958,2108335,October,185.0
959,2108335,September,168.33333333333334
960,2176375,April,44.0
961,2176375,August,44.0
962,2176375,December,44.0
963,2176375,February,44.0
964,2176375,January,44.0
965,2176375,July,44.0
966,2176375,June,44.0
967,2176375,March,44.0
968,2176375,May,44.0
969,2176375,November,44.0
970,2176375,October,44.0
971,2176375,September,44.0
972,2209375,April,138.8
973,2209375,August,137.96774193548387
974,2209375,December,135.19354838709677
975,2209375,February,137.57142857142858
976,2209375,January,140.74193548387098
977,2209375,July,137.96774193548387
978,2209375,June,138.8
979,2209375,March,135.19354838709677
980,2209375,May,140.74193548387098
981,2209375,November,135.93333333333334
982,2209375,October,140.74193548387098
983,2209375,September,135.93333333333334
984,2213748,April,38.0
985,2213748,August,39.516129032258064
986,2213748,December,38.0
987,2213748,February,38.0
988,2213748,January,38.0
989,2213748,July,40.74193548387097
990,2213748,June,39.7
991,2213748,March,38.0
992,2213748,May,38.0
993,2213748,November,38.0
994,2213748,October,38.0
995,2213748,September,39.333333333333336
996,2214960,April,82.0
